id,created_at,class ,text
6.72E+17,12/2/2015 22:54,theft ,"Robbery Snatch at 1708 hours in the Unit b/o Kennedy Street, NW. Suspects stopped. CALL 911 W/ EVENT I20150699347"
6.72E+17,12/2/2015 20:41,advisory,"On Thursday, December 3, 2015, the National Christmas Tree Lighting
(Pageant of Peace Ceremony) will take place in DC on the
Ellipse near t…"
6.72E+17,12/2/2015 18:11,closure,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, December 7

(Washington
DC) Beginning
Monday, December 7, 2015, the D…"
6.72E+17,12/2/2015 13:40,open,All traffic lanes on 295 northbound are now open.
6.72E+17,12/2/2015 13:10,closure,"MPD reports an accident at I295 Northbound and Benning Rd, the Center lane is blocked at this time. Traffic is getting by on lane 1 and lan…"
6.72E+17,12/2/2015 9:53,advisory,NWS has issued a Dense Fog Advisory for DC until 8:00 am this morning. Visibility is 1 quarter of a mile or less at times. While on the roa…
6.72E+17,12/2/2015 7:37,violence,Stabbing in the 600 b/o Edgewood St NE. No lookout. CALL 911 W/ EVENT #I20150697501
6.72E+17,12/2/2015 6:21,theft ,robbery at 0024hrs in the 1100 b/o buchanan street. LOF 2 b/m in all black CALL 911 W/ EVENT #I20150697412
6.72E+17,12/2/2015 4:05,theft ,"Robbery at 22:38 hrs at 10th Street SE &amp; East Capitol Street . LOF B/M, thin built wearing a black hoodie. CALL 911 W/ EVENT #"
6.72E+17,12/2/2015 3:33,open,MPD reports the road is reopened in both directions at the 1900 b/o Allison Street NE between 19th Street and Michigan Avenue NE.
6.72E+17,12/2/2015 1:07,theft ,"Robbery Gun at 1920 hours hrs in the 1900 b/o 14th street SE. LOF B/M, 5'11"", 20-25 years old, medium complexion, wearing blue jeans, black…"
6.72E+17,12/2/2015 0:51,theft ,"Robbery Gun at 2050 hours hrs in the 1900 b/o 14th street SE. LOF B/M, 5'11"", 20-25 years old, medium complexion, wearing blue jeans, black…"
6.72E+17,12/1/2015 21:54,closure,MPD reports a road closure in both directions at the 1900 b/o Allison Street NE between 19th Street and Michigan Avenue NE due to police ac…
6.72E+17,12/1/2015 21:25,theft ,"Robbery Force/Violence on 70 Webster Street, NE. LOF unknown male. CALL 911 W/ EVENT #R2015191569"
6.72E+17,12/1/2015 20:17,theft ,"Robbery in the 300blk of 37th St SE. LOF S-1 B/M, 5'6"", 20 yoa; S-2 B/M, 20-25 yoa, grey sweater. CALL 911 W/ EVENT #I20150696375"
