id,created_at,text
6.72187E+17,12/2/2015 22:54,"Robbery Snatch at 1708 hours in the Unit b/o Kennedy Street, NW. Suspects stopped. CALL 911 W/ EVENT I20150699347"
6.72154E+17,12/2/2015 20:41,"On Thursday, December 3, 2015, the National Christmas Tree Lighting
(Pageant of Peace Ceremony) will take place in DC on the
Ellipse near t…"
6.72116E+17,12/2/2015 18:11,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, December 7

(Washington
DC) Beginning
Monday, December 7, 2015, the D…"
6.72048E+17,12/2/2015 13:40,All traffic lanes on 295 northbound are now open.
6.7204E+17,12/2/2015 13:10,"MPD reports an accident at I295 Northbound and Benning Rd, the Center lane is blocked at this time. Traffic is getting by on lane 1 and lan…"
6.71991E+17,12/2/2015 9:53,NWS has issued a Dense Fog Advisory for DC until 8:00 am this morning. Visibility is 1 quarter of a mile or less at times. While on the roa…
6.71956E+17,12/2/2015 7:37,Stabbing in the 600 b/o Edgewood St NE. No lookout. CALL 911 W/ EVENT #I20150697501
6.71937E+17,12/2/2015 6:21,robbery at 0024hrs in the 1100 b/o buchanan street. LOF 2 b/m in all black CALL 911 W/ EVENT #I20150697412
6.71903E+17,12/2/2015 4:05,"Robbery at 22:38 hrs at 10th Street SE &amp; East Capitol Street . LOF B/M, thin built wearing a black hoodie. CALL 911 W/ EVENT #"
6.71895E+17,12/2/2015 3:33,MPD reports the road is reopened in both directions at the 1900 b/o Allison Street NE between 19th Street and Michigan Avenue NE.
6.71858E+17,12/2/2015 1:07,"Robbery Gun at 1920 hours hrs in the 1900 b/o 14th street SE. LOF B/M, 5'11"", 20-25 years old, medium complexion, wearing blue jeans, black…"
6.71854E+17,12/2/2015 0:51,"Robbery Gun at 2050 hours hrs in the 1900 b/o 14th street SE. LOF B/M, 5'11"", 20-25 years old, medium complexion, wearing blue jeans, black…"
6.7181E+17,12/1/2015 21:54,MPD reports a road closure in both directions at the 1900 b/o Allison Street NE between 19th Street and Michigan Avenue NE due to police ac…
6.71802E+17,12/1/2015 21:25,"Robbery Force/Violence on 70 Webster Street, NE. LOF unknown male. CALL 911 W/ EVENT #R2015191569"
6.71785E+17,12/1/2015 20:17,"Robbery in the 300blk of 37th St SE. LOF S-1 B/M, 5'6"", 20 yoa; S-2 B/M, 20-25 yoa, grey sweater. CALL 911 W/ EVENT #I20150696375"
6.71761E+17,12/1/2015 18:40,"Robbery (Gun) at 1300 hrs in the 600 b/o 4th St NE. LOF B/M, Blk Hoodie, Navy Blue Yankie Baseball Cap, blk sun glasses…… S-2 B/M, light co…"
6.71741E+17,12/1/2015 17:21,Washington Gas reports the repairs at 1300 Allison are complete and all associated street closures have reopened.
6.71725E+17,12/1/2015 16:19,The 1300 b/o Allison St NW and the intersection of 13th and Arkansas closed due gas repairs. Please avoid the area.
6.7171E+17,12/1/2015 15:19,MPD reports that street closures (2200 block Savannah Street SE) are now open.
6.71691E+17,12/1/2015 14:03,MPD reports Savannah Street SE between 22nd &amp; 23rd Street SE is closed due a police investigation. Please avoid the area
6.71687E+17,12/1/2015 13:48,Shooting Investigation at 8:16AM in the 2200 b/o Savannah St SE. No lookout at this time. CALL 911 W/ EVENT #I20150695699
6.7151E+17,12/1/2015 2:04,"Attempt Robbery at 2025 hrs in the 400 b/o G ST NW.. LOF B/M, 19-20 years old, 5'6’’ tall, dark green jacket, dark jeans, short afro hair C…"
6.71463E+17,11/30/2015 22:57,"Robbery Force/Violence in the 4600 b/o A.Street, SE. LOF suspects are 5 to 6 juveniles wearing a ski mask. CALL 911 W/ EVENT #I20150694789"
6.71459E+17,11/30/2015 22:42,"Robbery [Hold Up Gun] at 1715 hrs in the 5700 b/o 13th Street, NW. LOF 5 Juvenile Males, Unknown Race wearing all dark clothing CALL 911 W/…"
6.71394E+17,11/30/2015 18:23,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, November
30

(Washington
DC) Beginning Monday, November 30, 2015, the…"
6.71373E+17,11/30/2015 17:00,"Stabbing, 1131 hours, 3700 b/o Minnesota Avenue NE, No lookout at this time. CALL 911 W/ EVENT # I20150694269"
6.71191E+17,11/30/2015 4:57,"ADW Gun at 2200 hrs at 4128 8th street NW. LOF CALL 911 . Lookout is for Suspect(1) B/M, 5’6’5’7, Dark complexion, wearing a dark Blue puff…"
6.71157E+17,11/30/2015 2:42,"Robbery Gun at 2105 hrs in the 1700 block 11th Street NW. LOF: 2 black/male’s, 20’s, Suspect (1) 6'0"" tall, thin, black hoodie, dark pants,…"
6.71142E+17,11/30/2015 1:41,"7D Robbery at 2010hrs in the 2200 b/o Alabama Ave SE. LOF B/M 20 years old, 5'6"", 185lbs, dark complexion, hair in short twists, black jack…"
6.71138E+17,11/30/2015 1:26,Stabbing at 1955 hrs in the 100 b/o Irving Street NE. No Lookout. CALL 911 W/ EVENT # I20150693225
6.71131E+17,11/30/2015 0:56,"Robbery Hold up Gun in the 4400 b/o Benning Rd, NE. LOF Suspect is B/M, 30 yoa, 5'6, 180 -200 LBS, gray hat, gray coat and blue jeans armed…"
6.7112E+17,11/30/2015 0:12,"Robbery at 1829 hrs in the 200 b/o M ST SW. LOF 3 B/M, One wearing gray hoodie CALL 911 W/ EVENT #"
6.71031E+17,11/29/2015 18:21,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, November
30

(Washington
DC) Beginning Monday, November 30, 2015, the…"
6.70921E+17,11/29/2015 11:02,"Attempted Car Jacking, 0525 hours, Mass Avenue &amp; Minn Avenue SE, LOF B/M, 5'5"", green coat, 150-175lbs, light complexion armed w/ a silver …"
6.70883E+17,11/29/2015 8:32,"Robbery GUN - 3700 blk of MLK Ave SE @ 0300. LOF 2 B/M’s, 1 armed w/ a handgun CALL 911 W/ EVENT #I20150692168"
6.70883E+17,11/29/2015 8:32,robbery at 0257hrs in the 2400 b/o 18th street NW. LOF B/M 6'4 BLK SHIRT BLK HAT RED SHOES BUSHEY BEARD 25-30YRS CALL 911 W/ EVENT# I201506…
6.7086E+17,11/29/2015 7:01,robbery at 0125 hrs in the 900 b/o L street. Lookout unknown CALL 911 W/ EVENT# I20150692025
